year,nrep
1789,65
1791,69
1793,105
1803,141
1813,182
1815,183
1817,185
1819,187
1821,213
1833,240
1835,242
1843,223
1845,225
1847,227
1851,233
1853,234
1857,237
1861,178
1863,183
1865,191
1867,193
1869,243
1873,293
1883,325
1889,330
1891,333
1893,357
1901,386
1911,391
1913,435
1959,436
1961,437
1963,435
